ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075848986::Value,1075849176::Physical Name
"1075839019::12787","DF_Purchasing_SupplierCategories_SupplierCategoryID",Default Value,"","DF_Purchasing_SupplierCategories_SupplierCategoryID","NEXT VALUE FOR [Sequences].[SupplierCategoryID]","DF_Purchasing_SupplierCategories_SupplierCategoryID"
"1075839019::12834","DF_Purchasing_Suppliers_SupplierID",Default Value,"","DF_Purchasing_Suppliers_SupplierID","NEXT VALUE FOR [Sequences].[SupplierID]","DF_Purchasing_Suppliers_SupplierID"
"1075839019::12909","DF_Purchasing_SupplierTransactions_SupplierTransactionID",Default Value,"","DF_Purchasing_SupplierTransactions_SupplierTransactionID","NEXT VALUE FOR [Sequences].[TransactionID]","DF_Purchasing_SupplierTransactions_SupplierTransactionID"
"1075839019::12911","DF_Purchasing_SupplierTransactions_LastEditedWhen",Default Value,"","DF_Purchasing_SupplierTransactions_LastEditedWhen","sysdatetime()","DF_Purchasing_SupplierTransactions_LastEditedWhen"
"1075839019::14117","DF_Application_SystemParameters_SystemParameterID",Default Value,"","DF_Application_SystemParameters_SystemParameterID","NEXT VALUE FOR [Sequences].[SystemParameterID]","DF_Application_SystemParameters_SystemParameterID"
"1075839019::14119","DF_Application_SystemParameters_LastEditedWhen",Default Value,"","DF_Application_SystemParameters_LastEditedWhen","sysdatetime()","DF_Application_SystemParameters_LastEditedWhen"
"1075839019::14313","DF_Application_TransactionTypes_TransactionTypeID",Default Value,"","DF_Application_TransactionTypes_TransactionTypeID","NEXT VALUE FOR [Sequences].[TransactionTypeID]","DF_Application_TransactionTypes_TransactionTypeID"
"1075839020::11753","CK_Sales_Invoices_ReturnedDeliveryData_Must_Be_Valid_JSON",Validation Rule,"","CK_Sales_Invoices_ReturnedDeliveryData_Must_Be_Valid_JSON","[ReturnedDeliveryData] IS NULL OR isjson([ReturnedDeliveryData])<>(0)","CK_Sales_Invoices_ReturnedDeliveryData_Must_Be_Valid_JSON"
"1075839020::12476","CK_Sales_SpecialDeals_Exactly_One_NOT_NULL_Pricing_Option_Is_Required",Validation Rule,"","CK_Sales_SpecialDeals_Exactly_One_NOT_NULL_Pricing_Option_Is_Required","((case when [DiscountAmount] IS NULL then (0) else (1) end+case when [DiscountPercentage] IS NULL then (0) else (1) end)+case when [UnitPrice] IS NULL then (0) else (1) end)=(1)","CK_Sales_SpecialDeals_Exactly_One_NOT_NULL_Pricing_Option_Is_Required"
"1075839020::12478","CK_Sales_SpecialDeals_Unit_Price_Deal_Requires_Special_StockItem",Validation Rule,"","CK_Sales_SpecialDeals_Unit_Price_Deal_Requires_Special_StockItem","[StockItemID] IS NOT NULL AND [UnitPrice] IS NOT NULL OR [UnitPrice] IS NULL","CK_Sales_SpecialDeals_Unit_Price_Deal_Requires_Special_StockItem"
